Value,Name,VariableDescription,Date
"2,093","ROGUE RIVER AT GRANTS PASS, OR",Discharge,1/18/21
"2,079","ROGUE RIVER AT GRANTS PASS, OR",Discharge,1/18/21
"2,063","ROGUE RIVER AT GRANTS PASS, OR",Discharge,1/18/21
"2,064","ROGUE RIVER AT GRANTS PASS, OR",Discharge,1/18/21
"2,069","ROGUE RIVER AT GRANTS PASS, OR",Discharge,1/18/21
"2,068","ROGUE RIVER AT GRANTS PASS, OR",Discharge,1/18/21
"2,064","ROGUE RIVER AT GRANTS PASS, OR",Discharge,1/18/21
"2,063","ROGUE RIVER AT GRANTS PASS, OR",Discharge,1/18/21
"2,058","ROGUE RIVER AT GRANTS PASS, OR",Discharge,1/18/21
"2,049","ROGUE RIVER AT GRANTS PASS, OR",Discharge,1/18/21
"2,033","ROGUE RIVER AT GRANTS PASS, OR",Discharge,1/18/21
"2,021","ROGUE RIVER AT GRANTS PASS, OR",Discharge,1/18/21
"2,017","ROGUE RIVER AT GRANTS PASS, OR",Discharge,1/18/21
"2,008","ROGUE RIVER AT GRANTS PASS, OR",Discharge,1/19/21
"2,002","ROGUE RIVER AT GRANTS PASS, OR",Discharge,1/19/21
"1,986","ROGUE RIVER AT GRANTS PASS, OR",Discharge,1/19/21
"1,984","ROGUE RIVER AT GRANTS PASS, OR",Discharge,1/19/21
"1,988","ROGUE RIVER AT GRANTS PASS, OR",Discharge,1/19/21
"1,969","ROGUE RIVER AT GRANTS PASS, OR",Discharge,1/19/21
"1,963","ROGUE RIVER AT GRANTS PASS, OR",Discharge,1/19/21
"1,950","ROGUE RIVER AT GRANTS PASS, OR",Discharge,1/19/21
"1,953","ROGUE RIVER AT GRANTS PASS, OR",Discharge,1/19/21
"1,946","ROGUE RIVER AT GRANTS PASS, OR",Discharge,1/19/21
"1,945","ROGUE RIVER AT GRANTS PASS, OR",Discharge,1/19/21
"1,943","ROGUE RIVER AT GRANTS PASS, OR",Discharge,1/19/21
"1,946","ROGUE RIVER AT GRANTS PASS, OR",Discharge,1/19/21
"1,943","ROGUE RIVER AT GRANTS PASS, OR",Discharge,1/19/21
"1,932","ROGUE RIVER AT GRANTS PASS, OR",Discharge,1/19/21
"1,933","ROGUE RIVER AT GRANTS PASS, OR",Discharge,1/19/21
"1,915","ROGUE RIVER AT GRANTS PASS, OR",Discharge,1/19/21
"1,905","ROGUE RIVER AT GRANTS PASS, OR",Discharge,1/19/21
"1,901","ROGUE RIVER AT GRANTS PASS, OR",Discharge,1/20/21
"1,899","ROGUE RIVER AT GRANTS PASS, OR",Discharge,1/20/21
"1,895","ROGUE RIVER AT GRANTS PASS, OR",Discharge,1/20/21
"1,891","ROGUE RIVER AT GRANTS PASS, OR",Discharge,1/20/21
"1,886","ROGUE RIVER AT GRANTS PASS, OR",Discharge,1/20/21
"1,874","ROGUE RIVER AT GRANTS PASS, OR",Discharge,1/20/21
"1,858","ROGUE RIVER AT GRANTS PASS, OR",Discharge,1/20/21
"1,841","ROGUE RIVER AT GRANTS PASS, OR",Discharge,1/20/21
"1,833","ROGUE RIVER AT GRANTS PASS, OR",Discharge,1/20/21
"1,832","ROGUE RIVER AT GRANTS PASS, OR",Discharge,1/20/21
"1,836","ROGUE RIVER AT GRANTS PASS, OR",Discharge,1/20/21
"1,838","ROGUE RIVER AT GRANTS PASS, OR",Discharge,1/20/21
"1,839","ROGUE RIVER AT GRANTS PASS, OR",Discharge,1/20/21
"1,843","ROGUE RIVER AT GRANTS PASS, OR",Discharge,1/20/21
"1,834","ROGUE RIVER AT GRANTS PASS, OR",Discharge,1/20/21
"1,832","ROGUE RIVER AT GRANTS PASS, OR",Discharge,1/20/21
"1,824","ROGUE RIVER AT GRANTS PASS, OR",Discharge,1/20/21
"1,813","ROGUE RIVER AT GRANTS PASS, OR",Discharge,1/20/21
"1,807","ROGUE RIVER AT GRANTS PASS, OR",Discharge,1/21/21
"1,804","ROGUE RIVER AT GRANTS PASS, OR",Discharge,1/21/21
"1,796","ROGUE RIVER AT GRANTS PASS, OR",Discharge,1/21/21
"1,795","ROGUE RIVER AT GRANTS PASS, OR",Discharge,1/21/21
"1,801","ROGUE RIVER AT GRANTS PASS, OR",Discharge,1/21/21
"1,780","ROGUE RIVER AT GRANTS PASS, OR",Discharge,1/21/21
