,Date,Precip,Name
306,2021-12-30,33.0,San Lorenzo River Upper
307,2021-12-30,31.5,San Lorenzo River Upper
308,2021-12-30,36.1,San Lorenzo River Upper
309,2021-12-30,7.4,San Lorenzo River Upper
310,2021-12-31,0.0,San Lorenzo River Upper
311,2022-01-01,0.0,San Lorenzo River Upper
312,2022-01-02,0.0,San Lorenzo River Upper
313,2021-12-06,0.0,Mad River
314,2021-12-07,7.6,Mad River
315,2021-12-08,0.5,Mad River
316,2021-12-09,0.3,Mad River
317,2021-12-10,0.0,Mad River
318,2021-12-11,0.0,Mad River
319,2021-12-12,29.7,Mad River
320,2021-12-13,14.0,Mad River
321,2021-12-14,29.0,Mad River
322,2021-12-14,6.4,Mad River
323,2021-12-15,0.5,Mad River
324,2021-12-15,14.0,Mad River
325,2021-12-16,45.7,Mad River
326,2021-12-16,35.6,Mad River
327,2021-12-17,4.6,Mad River
328,2021-12-17,0.5,Mad River
329,2021-12-18,0.0,Mad River
330,2021-12-19,2.3,Mad River
331,2021-12-20,0.0,Mad River
332,2021-12-21,0.0,Mad River
333,2021-12-21,13.2,Mad River
334,2021-12-22,13.2,Mad River
335,2021-12-22,3.0,Mad River
336,2021-12-23,24.1,Mad River
337,2021-12-23,36.8,Mad River
338,2021-12-24,13.2,Mad River
339,2021-12-25,23.6,Mad River
340,2021-12-26,25.7,Mad River
341,2021-12-27,65.0,Mad River
342,2021-12-28,4.1,Mad River
343,2021-12-29,5.6,Mad River
344,2021-12-30,0.3,Mad River
345,2021-12-31,0.3,Mad River
346,2022-01-01,0.0,Mad River
347,2022-01-02,0.0,Mad River
348,2022-01-03,0.3,Mad River
349,2022-01-04,28.4,Mad River
350,2022-01-04,19.3,Mad River
351,2022-01-05,15.5,Mad River
352,2022-01-05,9.9,Mad River
353,2022-01-06,3.0,Mad River
354,2022-01-06,2.8,Mad River
355,2022-01-07,11.9,Mad River
356,2022-01-07,17.3,Mad River
357,2022-01-08,5.6,Mad River
358,2022-01-09,0.0,Mad River
359,2022-01-10,0.5,Mad River
360,2022-01-11,0.3,Mad River
361,2022-01-11,0.0,Mad River
362,2022-01-12,0.3,Mad River
363,2022-01-12,0.0,Mad River
364,2022-01-13,1.0,Mad River
365,2022-01-13,0.5,Mad River
366,2022-01-14,0.0,Mad River
367,2022-01-15,0.0,Mad River
368,2022-01-16,0.0,Mad River
369,2022-01-17,0.0,Mad River
370,2022-01-18,0.0,Mad River
371,2022-01-19,0.0,Mad River
372,2022-01-20,0.0,Mad River
373,2022-01-21,0.0,Mad River
374,2022-01-22,0.0,Mad River
375,2022-01-23,0.0,Mad River
376,2022-01-24,0.0,Mad River
377,2022-01-25,0.0,Mad River
378,2022-01-26,0.0,Mad River
379,2022-01-27,0.0,Mad River
380,2022-01-28,0.0,Mad River
381,2022-01-29,0.0,Mad River
382,2022-01-30,0.0,Mad River
383,2022-01-31,0.5,Mad River
384,2022-02-01,0.0,Mad River
385,2022-02-02,0.0,Mad River
386,2022-02-03,0.0,Mad River
387,2022-02-04,0.0,Mad River
388,2022-02-05,0.0,Mad River
389,2022-02-06,0.0,Mad River
390,2022-02-07,0.0,Mad River
391,2022-02-08,0.0,Mad River
392,2022-02-09,0.0,Mad River
393,2022-02-10,0.0,Mad River
394,2022-02-11,0.0,Mad River
395,2022-02-12,0.0,Mad River
396,2022-02-13,0.0,Mad River
397,2022-02-14,0.0,Mad River
398,2021-12-06,0.0,Putah Creek
399,2021-12-07,2.3,Putah Creek
400,2021-12-08,0.5,Putah Creek
401,2021-12-08,0.0,Putah Creek
402,2021-12-09,0.8,Putah Creek
403,2021-12-09,1.8,Putah Creek
404,2021-12-10,0.0,Putah Creek
405,2021-12-11,0.0,Putah Creek
406,2021-12-12,4.1,Putah Creek
407,2021-12-12,6.9,Putah Creek
408,2021-12-13,50.3,Putah Creek
409,2021-12-13,52.8,Putah Creek
410,2021-12-14,52.1,Putah Creek
411,2021-12-14,48.8,Putah Creek
412,2021-12-15,0.5,Putah Creek
413,2021-12-15,0.3,Putah Creek
414,2021-12-16,28.7,Putah Creek
415,2021-12-16,25.9,Putah Creek
416,2021-12-17,0.0,Putah Creek
417,2021-12-18,0.0,Putah Creek
418,2021-12-18,0.3,Putah Creek
419,2021-12-19,0.0,Putah Creek
420,2021-12-20,0.0,Putah Creek
421,2021-12-21,0.0,Putah Creek
422,2021-12-22,16.8,Putah Creek
423,2021-12-22,17.0,Putah Creek
424,2021-12-23,19.1,Putah Creek
425,2021-12-23,18.0,Putah Creek
426,2021-12-24,1.5,Putah Creek
427,2021-12-24,0.5,Putah Creek
428,2021-12-25,4.3,Putah Creek
429,2021-12-25,5.3,Putah Creek
430,2021-12-26,10.2,Putah Creek
431,2021-12-26,12.4,Putah Creek
432,2021-12-27,2.0,Putah Creek
433,2021-12-27,1.5,Putah Creek
434,2021-12-28,0.5,Putah Creek
435,2021-12-29,15.5,Putah Creek
436,2021-12-29,16.5,Putah Creek
437,2021-12-30,2.3,Putah Creek
438,2021-12-30,1.0,Putah Creek
439,2021-12-31,0.0,Putah Creek
440,2021-12-31,0.3,Putah Creek
441,2022-01-01,0.0,Putah Creek
442,2022-01-02,0.0,Putah Creek
443,2022-01-03,0.0,Putah Creek
444,2022-01-04,13.2,Putah Creek
445,2022-01-04,11.4,Putah Creek
446,2022-01-05,0.8,Putah Creek
447,2022-01-05,0.5,Putah Creek
448,2022-01-06,0.8,Putah Creek
449,2022-01-06,0.3,Putah Creek
450,2022-01-07,0.5,Putah Creek
451,2022-01-07,0.3,Putah Creek
452,2022-01-08,0.0,Putah Creek
453,2022-01-09,0.0,Putah Creek
454,2022-01-10,0.0,Putah Creek
455,2022-01-11,0.0,Putah Creek
456,2022-01-12,0.0,Putah Creek
457,2022-01-13,0.0,Putah Creek
458,2022-01-14,0.0,Putah Creek
459,2022-01-15,0.0,Putah Creek
460,2022-01-16,0.0,Putah Creek
461,2022-01-17,0.0,Putah Creek
462,2022-01-18,0.0,Putah Creek
463,2022-01-19,0.0,Putah Creek
464,2022-01-20,0.0,Putah Creek
465,2022-01-21,0.0,Putah Creek
466,2022-01-22,0.0,Putah Creek
467,2022-01-23,0.0,Putah Creek
468,2022-01-24,0.0,Putah Creek
469,2021-12-06,0.0,Truckee River Farad
470,2021-12-06,2.5,Truckee River Farad
471,2021-12-07,4.6,Truckee River Farad
472,2021-12-07,7.6,Truckee River Farad
473,2021-12-07,5.3,Truckee River Farad
474,2021-12-07,6.4,Truckee River Farad
475,2021-12-07,2.5,Truckee River Farad
476,2021-12-08,0.0,Truckee River Farad
477,2021-12-08,0.3,Truckee River Farad
478,2021-12-08,0.5,Truckee River Farad
479,2021-12-09,4.1,Truckee River Farad
480,2021-12-09,7.9,Truckee River Farad
481,2021-12-09,4.6,Truckee River Farad
482,2021-12-09,7.4,Truckee River Farad
483,2021-12-09,7.6,Truckee River Farad
484,2021-12-10,4.1,Truckee River Farad
485,2021-12-10,0.8,Truckee River Farad
486,2021-12-10,0.0,Truckee River Farad
487,2021-12-11,0.0,Truckee River Farad
488,2021-12-12,0.3,Truckee River Farad
489,2021-12-12,2.0,Truckee River Farad
490,2021-12-12,0.0,Truckee River Farad
491,2021-12-12,3.6,Truckee River Farad
492,2021-12-12,27.9,Truckee River Farad
493,2021-12-13,23.4,Truckee River Farad
494,2021-12-13,33.3,Truckee River Farad
495,2021-12-13,24.1,Truckee River Farad
496,2021-12-13,33.5,Truckee River Farad
497,2021-12-13,58.4,Truckee River Farad
498,2021-12-14,21.8,Truckee River Farad
499,2021-12-14,53.3,Truckee River Farad
500,2021-12-14,50.3,Truckee River Farad
501,2021-12-14,51.8,Truckee River Farad
502,2021-12-14,15.2,Truckee River Farad
503,2021-12-15,2.8,Truckee River Farad
504,2021-12-15,4.1,Truckee River Farad
505,2021-12-15,6.4,Truckee River Farad
506,2021-12-15,27.9,Truckee River Farad
507,2021-12-16,15.0,Truckee River Farad
508,2021-12-16,22.1,Truckee River Farad
509,2021-12-16,15.7,Truckee River Farad
510,2021-12-16,23.6,Truckee River Farad
511,2021-12-16,7.6,Truckee River Farad
512,2021-12-17,1.0,Truckee River Farad
513,2021-12-17,0.0,Truckee River Farad
514,2021-12-17,2.5,Truckee River Farad
515,2021-12-18,0.0,Truckee River Farad
516,2021-12-19,0.0,Truckee River Farad
517,2021-12-20,0.0,Truckee River Farad
518,2021-12-21,0.0,Truckee River Farad
519,2021-12-22,3.3,Truckee River Farad
520,2021-12-22,5.8,Truckee River Farad
521,2021-12-22,2.3,Truckee River Farad
522,2021-12-22,4.3,Truckee River Farad
523,2021-12-22,20.3,Truckee River Farad
524,2021-12-23,24.9,Truckee River Farad
525,2021-12-23,30.7,Truckee River Farad
526,2021-12-23,23.4,Truckee River Farad
527,2021-12-23,27.9,Truckee River Farad
528,2021-12-23,43.2,Truckee River Farad
529,2021-12-24,51.8,Truckee River Farad
530,2021-12-24,62.2,Truckee River Farad
531,2021-12-24,68.8,Truckee River Farad
532,2021-12-24,52.3,Truckee River Farad
533,2021-12-24,12.7,Truckee River Farad
534,2021-12-25,6.1,Truckee River Farad
535,2021-12-25,18.3,Truckee River Farad
536,2021-12-25,3.6,Truckee River Farad
537,2021-12-25,33.0,Truckee River Farad
538,2021-12-26,25.4,Truckee River Farad
539,2021-12-06,0.0,Little Truckee River
540,2021-12-06,2.5,Little Truckee River
541,2021-12-07,4.6,Little Truckee River
542,2021-12-07,7.6,Little Truckee River
543,2021-12-07,5.3,Little Truckee River
544,2021-12-07,6.4,Little Truckee River
545,2021-12-07,2.5,Little Truckee River
546,2021-12-08,0.0,Little Truckee River
547,2021-12-08,0.3,Little Truckee River
548,2021-12-08,0.5,Little Truckee River
549,2021-12-09,4.1,Little Truckee River
550,2021-12-09,7.9,Little Truckee River
551,2021-12-09,4.6,Little Truckee River
552,2021-12-09,7.4,Little Truckee River
553,2021-12-09,7.6,Little Truckee River
554,2021-12-10,4.1,Little Truckee River
555,2021-12-10,0.8,Little Truckee River
556,2021-12-10,0.0,Little Truckee River
557,2021-12-11,0.0,Little Truckee River
558,2021-12-12,0.3,Little Truckee River
559,2021-12-12,2.0,Little Truckee River
560,2021-12-12,0.0,Little Truckee River
561,2021-12-12,3.6,Little Truckee River
562,2021-12-12,27.9,Little Truckee River
563,2021-12-13,23.4,Little Truckee River
564,2021-12-13,33.3,Little Truckee River
565,2021-12-13,24.1,Little Truckee River
566,2021-12-13,33.5,Little Truckee River
567,2021-12-13,58.4,Little Truckee River
568,2021-12-14,21.8,Little Truckee River
569,2021-12-14,53.3,Little Truckee River
570,2021-12-14,50.3,Little Truckee River
571,2021-12-14,51.8,Little Truckee River
572,2021-12-14,15.2,Little Truckee River
573,2021-12-15,2.8,Little Truckee River
574,2021-12-15,4.1,Little Truckee River
575,2021-12-15,6.4,Little Truckee River
576,2021-12-15,27.9,Little Truckee River
577,2021-12-16,15.0,Little Truckee River
578,2021-12-16,22.1,Little Truckee River
579,2021-12-16,15.7,Little Truckee River
580,2021-12-16,23.6,Little Truckee River
581,2021-12-16,7.6,Little Truckee River
582,2021-12-17,1.0,Little Truckee River
583,2021-12-17,0.0,Little Truckee River
584,2021-12-17,2.5,Little Truckee River
585,2021-12-18,0.0,Little Truckee River
586,2021-12-19,0.0,Little Truckee River
587,2021-12-20,0.0,Little Truckee River
588,2021-12-21,0.0,Little Truckee River
589,2021-12-22,3.3,Little Truckee River
590,2021-12-22,5.8,Little Truckee River
591,2021-12-22,2.3,Little Truckee River
592,2021-12-22,4.3,Little Truckee River
593,2021-12-22,20.3,Little Truckee River
594,2021-12-23,24.9,Little Truckee River
595,2021-12-23,30.7,Little Truckee River
596,2021-12-23,23.4,Little Truckee River
597,2021-12-23,27.9,Little Truckee River
598,2021-12-23,43.2,Little Truckee River
599,2021-12-24,51.8,Little Truckee River
600,2021-12-24,62.2,Little Truckee River
601,2021-12-24,68.8,Little Truckee River
602,2021-12-24,52.3,Little Truckee River
603,2021-12-24,12.7,Little Truckee River
604,2021-12-25,6.1,Little Truckee River
605,2021-12-25,18.3,Little Truckee River
606,2021-12-25,3.6,Little Truckee River
607,2021-12-25,33.0,Little Truckee River
608,2021-12-26,25.4,Little Truckee River
609,2021-12-06,0.0,Smith River CC
610,2021-12-06,9.7,Smith River CC
611,2021-12-07,10.2,Smith River CC
612,2021-12-07,8.9,Smith River CC
613,2021-12-07,8.4,Smith River CC
614,2021-12-07,9.7,Smith River CC
615,2021-12-07,9.4,Smith River CC
616,2021-12-07,0.0,Smith River CC
617,2021-12-08,2.3,Smith River CC
618,2021-12-08,2.5,Smith River CC
619,2021-12-08,2.0,Smith River CC
620,2021-12-08,4.8,Smith River CC
621,2021-12-08,0.8,Smith River CC
622,2021-12-09,0.8,Smith River CC
623,2021-12-09,0.0,Smith River CC
624,2021-12-09,0.3,Smith River CC
625,2021-12-10,0.0,Smith River CC
626,2021-12-10,0.5,Smith River CC
627,2021-12-10,0.8,Smith River CC
628,2021-12-10,0.3,Smith River CC
629,2021-12-11,2.8,Smith River CC
630,2021-12-11,1.3,Smith River CC
631,2021-12-11,2.3,Smith River CC
632,2021-12-11,2.0,Smith River CC
633,2021-12-11,1.5,Smith River CC
634,2021-12-11,6.1,Smith River CC
635,2021-12-11,33.0,Smith River CC
636,2021-12-12,51.6,Smith River CC
637,2021-12-12,50.3,Smith River CC
638,2021-12-12,52.3,Smith River CC
639,2021-12-12,49.5,Smith River CC
640,2021-12-12,51.8,Smith River CC
641,2021-12-12,54.6,Smith River CC
642,2021-12-12,49.8,Smith River CC
643,2021-12-12,9.4,Smith River CC
644,2021-12-13,31.8,Smith River CC
645,2021-12-13,37.1,Smith River CC
646,2021-12-13,40.9,Smith River CC
647,2021-12-13,32.5,Smith River CC
648,2021-12-13,26.2,Smith River CC
649,2021-12-13,31.5,Smith River CC
650,2021-12-13,34.5,Smith River CC
651,2021-12-13,14.2,Smith River CC
652,2021-12-14,14.0,Smith River CC
653,2021-12-14,12.7,Smith River CC
654,2021-12-14,15.5,Smith River CC
655,2021-12-14,13.2,Smith River CC
656,2021-12-14,17.8,Smith River CC
657,2021-12-14,9.1,Smith River CC
658,2021-12-14,5.3,Smith River CC
659,2021-12-15,7.9,Smith River CC
660,2021-12-15,5.3,Smith River CC
661,2021-12-15,7.4,Smith River CC
662,2021-12-15,8.4,Smith River CC
663,2021-12-15,8.1,Smith River CC
664,2021-12-15,8.9,Smith River CC
