,Date_Name,ForecastFromPresent,StationName,WeekdayName,startTime,endTime,windDirection,Rain,WindMph,temperature,SnowFlag
60,2022-12-07_Umpqua River Elkton,3,Umpqua River Elkton,Tuesday,2022-12-07,2022-12-07,SSE,0.0,4.0,38.5,0.0
61,2022-12-07_Van Duzen River Bridgeville,3,Van Duzen River Bridgeville,Tuesday,2022-12-07,2022-12-07,S,0.0,4.0,39.0,0.0
62,2022-12-07_Yuba River,3,Yuba River,Tuesday,2022-12-07,2022-12-07,NE,0.0,4.0,32.5,0.0
63,2022-12-07_Yuba River Marysville,3,Yuba River Marysville,Tuesday,2022-12-07,2022-12-07,N,0.0,5.0,41.0,0.0
64,2022-12-08_East Fork Carson,5,East Fork Carson,Thursday,2022-12-08,2022-12-08,SW,0.0,7.5,24.0,0.0
65,2022-12-08_East Walker,5,East Walker,Thursday,2022-12-08,2022-12-08,SW,0.0,5.0,19.0,0.0
66,2022-12-08_Eel River Fort Seward,5,Eel River Fort Seward,Thursday,2022-12-08,2022-12-08,ESE,2.0,6.5,37.5,0.0
67,2022-12-08_Eel River Scotia,5,Eel River Scotia,Thursday,2022-12-08,2022-12-08,S,2.0,15.0,41.0,0.0
68,2022-12-08_Hat Creek,5,Hat Creek,Thursday,2022-12-08,2022-12-08,SSW,0.0,5.0,26.5,0.0
69,2022-12-08_Little Truckee River,5,Little Truckee River,Thursday,2022-12-08,2022-12-08,SW,0.0,7.5,21.5,0.0
70,2022-12-08_Mad River,5,Mad River,Thursday,2022-12-08,2022-12-08,SSE,2.0,14.0,42.5,0.0
71,2022-12-08_Mattole River Ettersburg,5,Mattole River Ettersburg,Thursday,2022-12-08,2022-12-08,SE,2.0,12.0,40.5,0.0
72,2022-12-08_Mattole River Petrolia,5,Mattole River Petrolia,Thursday,2022-12-08,2022-12-08,SSE,2.0,15.0,45.5,0.0
73,2022-12-08_Navarro River,5,Navarro River,Thursday,2022-12-08,2022-12-08,SSE,2.0,11.0,44.0,0.0
74,2022-12-08_Nestucca River Beaver,5,Nestucca River Beaver,Thursday,2022-12-08,2022-12-08,S,2.0,10.0,42.5,0.0
75,2022-12-08_North Fork American River,5,North Fork American River,Thursday,2022-12-08,2022-12-08,SE,1.0,4.0,42.5,0.0
76,2022-12-08_North Umpqua River Winchester,5,North Umpqua River Winchester,Thursday,2022-12-08,2022-12-08,S,1.5,14.0,39.5,0.0
77,2022-12-08_North Umpquar River Idlelyd,5,North Umpquar River Idlelyd,Thursday,2022-12-08,2022-12-08,S,1.5,17.0,37.5,0.0
78,2022-12-08_Noyo River,5,Noyo River,Thursday,2022-12-08,2022-12-08,SE,2.0,11.0,42.5,0.0
79,2022-12-08_Pit River,5,Pit River,Thursday,2022-12-08,2022-12-08,S,0.0,5.5,27.0,0.0
80,2022-12-08_Putah Creek,5,Putah Creek,Thursday,2022-12-08,2022-12-08,S,1.0,5.5,43.5,0.0
81,2022-12-08_Redwood Creek Orick,5,Redwood Creek Orick,Thursday,2022-12-08,2022-12-08,SSE,2.0,17.0,42.5,0.0
82,2022-12-08_Rogue River Agness,5,Rogue River Agness,Thursday,2022-12-08,2022-12-08,S,2.0,16.0,39.0,0.0
83,2022-12-08_Rogue River Grants Pass,5,Rogue River Grants Pass,Thursday,2022-12-08,2022-12-08,S,2.0,9.0,36.0,0.0
84,2022-12-08_Russian River HaciendaBridge,5,Russian River HaciendaBridge,Thursday,2022-12-08,2022-12-08,E,0.5,4.5,44.5,0.0
85,2022-12-08_San Lorenzo River,5,San Lorenzo River,Thursday,2022-12-08,2022-12-08,N,0.5,2.0,46.0,0.0
86,2022-12-08_San Lorenzo River Upper,5,San Lorenzo River Upper,Thursday,2022-12-08,2022-12-08,N,0.5,1.5,46.5,0.0
87,2022-12-08_Smith River CC,5,Smith River CC,Thursday,2022-12-08,2022-12-08,S,2.0,16.0,43.5,0.0
88,2022-12-08_Trinity River Burnt Ranch,5,Trinity River Burnt Ranch,Thursday,2022-12-08,2022-12-08,E,2.0,9.0,38.0,0.0
89,2022-12-08_Trinity River Junction City,5,Trinity River Junction City,Thursday,2022-12-08,2022-12-08,SE,2.0,6.0,34.0,0.0
90,2022-12-08_Trinity River Lewiston,5,Trinity River Lewiston,Thursday,2022-12-08,2022-12-08,ENE,1.0,4.0,31.5,0.0
91,2022-12-08_Truckee River Farad,5,Truckee River Farad,Thursday,2022-12-08,2022-12-08,SW,0.0,7.5,26.0,0.0
92,2022-12-08_Umpqua River Elkton,5,Umpqua River Elkton,Thursday,2022-12-08,2022-12-08,S,2.0,14.0,38.5,0.0
93,2022-12-08_Van Duzen River Bridgeville,5,Van Duzen River Bridgeville,Thursday,2022-12-08,2022-12-08,S,2.0,10.0,39.0,0.0
94,2022-12-08_Yuba River,5,Yuba River,Thursday,2022-12-08,2022-12-08,SE,0.0,4.0,32.0,0.0
95,2022-12-08_Yuba River Marysville,5,Yuba River Marysville,Thursday,2022-12-08,2022-12-08,ESE,1.0,5.5,42.0,0.0
96,2022-12-09_East Fork Carson,7,East Fork Carson,Friday,2022-12-09,2022-12-09,SW,0.0,10.0,28.5,0.0
97,2022-12-09_East Walker,7,East Walker,Friday,2022-12-09,2022-12-09,SW,0.0,10.0,22.5,0.0
98,2022-12-09_Eel River Fort Seward,7,Eel River Fort Seward,Friday,2022-12-09,2022-12-09,SE,2.0,6.0,39.0,0.0
99,2022-12-09_Eel River Scotia,7,Eel River Scotia,Friday,2022-12-09,2022-12-09,SE,2.0,10.0,42.0,0.0
100,2022-12-09_Hat Creek,7,Hat Creek,Friday,2022-12-09,2022-12-09,SSW,0.0,7.5,30.5,0.0
101,2022-12-09_Little Truckee River,7,Little Truckee River,Friday,2022-12-09,2022-12-09,SW,0.0,7.5,25.5,0.0
102,2022-12-09_Mad River,7,Mad River,Friday,2022-12-09,2022-12-09,SSE,2.0,11.5,42.5,0.0
103,2022-12-09_Mattole River Ettersburg,7,Mattole River Ettersburg,Friday,2022-12-09,2022-12-09,ESE,2.0,9.0,42.0,0.0
104,2022-12-09_Mattole River Petrolia,7,Mattole River Petrolia,Friday,2022-12-09,2022-12-09,ESE,2.0,11.5,46.0,0.0
105,2022-12-09_Navarro River,7,Navarro River,Friday,2022-12-09,2022-12-09,N,2.0,8.5,45.5,0.0
106,2022-12-09_Nestucca River Beaver,7,Nestucca River Beaver,Friday,2022-12-09,2022-12-09,S,2.0,13.5,41.0,0.0
107,2022-12-09_North Fork American River,7,North Fork American River,Friday,2022-12-09,2022-12-09,SE,2.0,5.5,43.5,0.0
108,2022-12-09_North Umpqua River Winchester,7,North Umpqua River Winchester,Friday,2022-12-09,2022-12-09,S,2.0,11.5,40.0,0.0
109,2022-12-09_North Umpquar River Idlelyd,7,North Umpquar River Idlelyd,Friday,2022-12-09,2022-12-09,SSE,2.0,12.5,37.5,0.0
110,2022-12-09_Noyo River,7,Noyo River,Friday,2022-12-09,2022-12-09,ESE,2.0,8.5,44.0,0.0
111,2022-12-09_Pit River,7,Pit River,Friday,2022-12-09,2022-12-09,SSW,2.0,7.0,32.0,0.0
112,2022-12-09_Putah Creek,7,Putah Creek,Friday,2022-12-09,2022-12-09,S,2.0,7.0,46.0,0.0
113,2022-12-09_Redwood Creek Orick,7,Redwood Creek Orick,Friday,2022-12-09,2022-12-09,SSE,2.0,15.0,42.5,0.0
114,2022-12-09_Rogue River Agness,7,Rogue River Agness,Friday,2022-12-09,2022-12-09,S,2.0,16.0,39.5,0.0
115,2022-12-09_Rogue River Grants Pass,7,Rogue River Grants Pass,Friday,2022-12-09,2022-12-09,S,2.0,8.5,37.5,0.0
116,2022-12-09_Russian River HaciendaBridge,7,Russian River HaciendaBridge,Friday,2022-12-09,2022-12-09,SSE,1.5,6.0,47.0,0.0
117,2022-12-09_San Lorenzo River,7,San Lorenzo River,Friday,2022-12-09,2022-12-09,SE,1.0,2.5,47.0,0.0
118,2022-12-09_San Lorenzo River Upper,7,San Lorenzo River Upper,Friday,2022-12-09,2022-12-09,SSE,1.0,2.5,48.0,0.0
119,2022-12-09_Smith River CC,7,Smith River CC,Friday,2022-12-09,2022-12-09,S,2.0,12.0,43.0,0.0
120,2022-12-09_Trinity River Burnt Ranch,7,Trinity River Burnt Ranch,Friday,2022-12-09,2022-12-09,SSE,2.0,8.0,40.5,0.0
121,2022-12-09_Trinity River Junction City,7,Trinity River Junction City,Friday,2022-12-09,2022-12-09,S,2.0,7.0,36.5,0.0
122,2022-12-09_Trinity River Lewiston,7,Trinity River Lewiston,Friday,2022-12-09,2022-12-09,S,2.0,4.5,34.0,0.0
123,2022-12-09_Truckee River Farad,7,Truckee River Farad,Friday,2022-12-09,2022-12-09,SW,0.0,10.0,29.0,0.0
124,2022-12-09_Umpqua River Elkton,7,Umpqua River Elkton,Friday,2022-12-09,2022-12-09,S,2.0,11.5,38.5,0.0
125,2022-12-09_Van Duzen River Bridgeville,7,Van Duzen River Bridgeville,Friday,2022-12-09,2022-12-09,SE,2.0,8.0,40.5,0.0
126,2022-12-09_Yuba River,7,Yuba River,Friday,2022-12-09,2022-12-09,S,0.0,6.0,33.0,0.0
127,2022-12-09_Yuba River Marysville,7,Yuba River Marysville,Friday,2022-12-09,2022-12-09,SE,2.0,8.5,44.0,0.0
128,2022-12-10_East Fork Carson,9,East Fork Carson,Friday,2022-12-10,2022-12-10,SW,0.0,15.0,30.5,0.0
129,2022-12-10_East Walker,9,East Walker,Friday,2022-12-10,2022-12-10,SW,0.0,15.0,25.0,0.0
130,2022-12-10_Eel River Fort Seward,9,Eel River Fort Seward,Friday,2022-12-10,2022-12-10,S,2.0,5.0,39.0,0.0
131,2022-12-10_Eel River Scotia,9,Eel River Scotia,Friday,2022-12-10,2022-12-10,SSE,2.0,9.5,42.0,0.0
132,2022-12-10_Hat Creek,9,Hat Creek,Friday,2022-12-10,2022-12-10,SSW,0.0,8.5,30.5,0.0
133,2022-12-10_Little Truckee River,9,Little Truckee River,Friday,2022-12-10,2022-12-10,SW,0.0,15.0,27.0,0.0
134,2022-12-10_Mad River,9,Mad River,Friday,2022-12-10,2022-12-10,S,2.0,11.0,42.5,0.0
135,2022-12-10_Mattole River Ettersburg,9,Mattole River Ettersburg,Friday,2022-12-10,2022-12-10,SSW,2.0,7.5,41.5,0.0
